ID,Gender,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,Salary,conscientiousness,openess_to_experience,openess_to_experience
604399,f,87.8,cbse,2017,84,cbse,6920,1,B.Tech/B.E.,instrumentation and control engineering,73.82,6920,1,Delhi,2021,650,665,810,0.694479328,801000,-0.159,0.2889,0.2889
988334,m,57,cbse,2018,64.5,cbse,6624,2,B.Tech/B.E.,computer science & engineering,65,6624,0,Uttar Pradesh,2022,440,435,210,0.3423149,198000,1.1336,-0.2859,-0.2859
301647,m,77.33,"maharashtra state board,pune",2015,85.17,amravati divisional board,9084,2,B.Tech/B.E.,electronics & telecommunications,61.94,9084,0,Maharashtra,2019,485,475,505,0.824666401,459000,0.51,-0.2875,-0.2875
582313,m,84.3,cbse,2017,86,cbse,8195,1,B.Tech/B.E.,computer science & engineering,80.4,8195,1,Delhi,2021,675,620,635,0.990008757,756000,-0.4463,0.4805,0.4805
339001,f,82,cbse,2016,75,cbse,4889,2,B.Tech/B.E.,biotechnology,64.3,4889,1,Tamil Nadu,2020,575,495,365,0.278457409,360000,-1.4992,0.1864,0.1864
609356,f,83.16,icse,2015,77,cbse,10950,1,M.Tech./M.E.,instrumentation and control engineering,99.93,10950,0,Punjab,2021,535,595,620,0.376059587,792000,0.8463,-0.2859,-0.2859
1081649,f,72.5,state board,2015,53.2,state board,14381,2,B.Tech/B.E.,mechanical engineering,68,14381,1,West Bengal,2021,510,495,405,0.8295846,270000,0.1282,-0.0943,-0.0943
610842,f,77,state board,2017,88,state board,13208,2,B.Tech/B.E.,computer science & engineering,71,13208,1,Telangana,2021,370,470,280,0.704090412,189000,0.1282,-0.2859,-0.2859
1183070,m,76.8,state board,2018,87.7,state board,5338,2,B.Tech/B.E.,information technology,73.15,5338,0,Andhra Pradesh,2022,510,555,440,0.744758354,351000,-0.159,-0.0943,-0.0943
794062,f,57,state board,2017,73,state board,8346,2,B.Tech/B.E.,computer science & engineering,70.08,8346,0,Uttar Pradesh,2022,500,410,560,0.622642916,360000,-0.7335,0.6721,0.6721
1088206,m,77,state board,2016,75,state board,13424,2,B.Tech/B.E.,electronics & telecommunications,62,13424,0,Maharashtra,2021,675,630,485,0.20739217,603000,1.7081,0.8637,0.8637
1279958,m,81.2,state board,2016,79.9,state board,64,2,B.Tech/B.E.,instrumentation and control engineering,67.67,64,0,Uttar Pradesh,2021,395,565,645,-1,540000,0.7027,0.6721,0.6721
